amphoe,n_cluster,area_total,frp_mean,main_fire,repeat_cnt
Bang Rakam,19,4754.79,1.38,ไฟนาข้าว,2
Mueang Phitsanulok,14,4241.59,2.69,ไฟป่าผลัดใบ,2
