ตาราง 1: สรุปต่อประเภทไฟ
fire_behavior,จำนวน_cluster,พื้นที่เฉลี่ย_ไร่,พื้นที่รวม_ไร่,ระยะเวลาเฉลี่ย_วัน,FRP_เฉลี่ย_MW,สัดส่วนเกษตร,สัดส่วน_%
ไฟนาข้าว,15,251.32,3769.78,41.8,1.99,1.0,45.5
ไฟป่าผลัดใบ,10,330.73,3307.29,8.3,2.0,0.0,30.3
ไฟเตรียมแปลง,3,184.79,554.38,28.0,0.75,1.0,9.1
ไฟไม้ผล,5,272.99,1364.93,51.8,2.37,1.0,15.2

ตาราง 2: สรุปต่ออำเภอ
amphoe,จำนวน_cluster,พื้นที่รวม_ไร่,ระยะเวลาเฉลี่ย_วัน,FRP_เฉลี่ย_MW,ประเภทไฟหลัก
Bang Rakam,19,4754.79,50.26,1.38,ไฟนาข้าว
Mueang Phitsanulok,14,4241.59,7.0,2.69,ไฟป่าผลัดใบ

ตาราง 3: สรุปต่อปี
year_actual,จำนวนจุด,จำนวน_cluster,FRP_เฉลี่ย_MW
2020,129,13,1.59
2021,52,9,1.57
2022,47,5,2.09
2023,57,6,1.07
2024,13,3,2.12
2025,18,1,0.66

ตาราง 4: Cross table
amphoe,ไฟนาข้าว,ไฟป่าผลัดใบ,ไฟเตรียมแปลง,ไฟไม้ผล,รวม
Bang Rakam,11,0,3,5,19
Mueang Phitsanulok,4,10,0,0,14
รวม,15,10,3,5,33

ตาราง 5: Repeat Burn
,จำนวน_cluster,พื้นที่เฉลี่ย_ไร่,FRP_เฉลี่ย_MW,จำนวนปีเฉลี่ย
คาบเกี่ยว 1 ปี,29,233.73,2.05,1.0
คาบเกี่ยว >=2 ปี,4,554.52,1.14,2.0
